"","Name","File","AvgCyclomatic","AvgCyclomaticModified","AvgCyclomaticStrict","AvgEssential","AvgLine","AvgLineBlank","AvgLineCode","AvgLineComment","CountDeclClass","CountDeclClassMethod","CountDeclClassVariable","CountDeclExecutableUnit","CountDeclFunction","CountDeclInstanceMethod","CountDeclInstanceVariable","CountDeclMethod","CountDeclMethodDefault","CountDeclMethodPrivate","CountDeclMethodProtected","CountDeclMethodPublic","CountLine","CountLineBlank","CountLineCode","CountLineCodeDecl","CountLineCodeExe","CountLineComment","CountSemicolon","CountStmt","CountStmtDecl","CountStmtExe","MaxCyclomatic","MaxCyclomaticModified","MaxCyclomaticStrict","MaxEssential","MaxNesting","RatioCommentToCode","SumCyclomatic","SumCyclomaticModified","SumCyclomaticStrict","SumEssential","post_release_bugs"
"52","RELATIVE:/hadoop-common-project/hadoop-auth/src/test/java/org/apache/hadoop/security/authentication/util/StringSignerSecretProviderCreator.java","StringSignerSecretProviderCreator.java",1,1,1,1,8,0,4,4,1,1,0,1,1,0,0,1,0,0,0,1,33,2,11,8,1,20,4,6,5,1,1,1,1,1,0,1.82,1,1,1,1,0
"53","RELATIVE:/hadoop-common-project/hadoop-auth/src/test/java/org/apache/hadoop/security/authentication/util/TestAuthToken.java","TestAuthToken.java",4,4,4,1,24,0,22,2,1,0,0,4,4,4,0,4,0,0,0,4,127,9,98,24,73,22,56,68,20,48,13,13,13,1,1,0.22,18,18,18,4,0
"54","RELATIVE:/hadoop-common-project/hadoop-auth/src/test/java/org/apache/hadoop/security/authentication/util/TestFileSignerSecretProvider.java","TestFileSignerSecretProvider.java",1,1,1,1,23,1,22,0,1,0,0,1,1,1,0,1,0,0,0,1,51,5,33,20,19,13,23,25,17,8,1,1,1,1,0,0.39,1,1,1,1,0
"55","RELATIVE:/hadoop-common-project/hadoop-auth/src/test/java/org/apache/hadoop/security/authentication/util/TestJaasConfiguration.java","TestJaasConfiguration.java",2,2,2,1,28,1,27,0,1,0,0,1,1,1,0,1,0,0,0,1,55,4,35,14,22,16,24,27,12,15,2,2,2,1,1,0.46,2,2,2,1,0
"56","RELATIVE:/hadoop-common-project/hadoop-auth/src/test/java/org/apache/hadoop/security/authentication/util/TestKerberosName.java","TestKerberosName.java",1,1,1,1,8,0,8,0,1,0,0,8,8,8,0,8,0,3,0,5,115,14,82,28,48,23,43,54,21,33,2,2,2,1,1,0.28,10,10,10,8,3
"57","RELATIVE:/hadoop-common-project/hadoop-auth/src/test/java/org/apache/hadoop/security/authentication/util/TestKerberosUtil.java","TestKerberosUtil.java",2,2,2,1,14,0,12,1,1,0,2,7,7,7,0,7,0,1,0,6,162,13,120,52,71,29,59,78,45,33,3,3,3,1,2,0.24,15,15,15,7,1
"58","RELATIVE:/hadoop-common-project/hadoop-auth/src/test/java/org/apache/hadoop/security/authentication/util/TestRandomSignerSecretProvider.java","TestRandomSignerSecretProvider.java",1,1,1,1,40,3,36,2,1,0,0,1,1,1,0,1,0,0,0,1,63,6,43,17,32,15,34,37,15,22,1,1,1,1,1,0.35,1,1,1,1,0
"59","RELATIVE:/hadoop-common-project/hadoop-auth/src/test/java/org/apache/hadoop/security/authentication/util/TestRolloverSignerSecretProvider.java","TestRolloverSignerSecretProvider.java",1,1,1,1,15,1,14,0,2,0,0,3,3,3,2,3,0,0,1,2,79,11,55,21,35,14,37,43,17,26,1,1,1,1,1,0.25,3,3,3,3,0
"60","RELATIVE:/hadoop-common-project/hadoop-auth/src/test/java/org/apache/hadoop/security/authentication/util/TestSigner.java","TestSigner.java",1,1,1,1,9,0,9,0,2,0,0,12,12,12,2,12,0,1,0,11,163,16,129,59,78,22,72,91,49,42,5,5,5,1,1,0.17,21,21,21,12,0
"61","RELATIVE:/hadoop-common-project/hadoop-auth/src/test/java/org/apache/hadoop/security/authentication/util/TestStringSignerSecretProvider.java","TestStringSignerSecretProvider.java",1,1,1,1,14,0,14,0,1,0,0,1,1,1,0,1,0,0,0,1,38,3,22,14,11,13,15,17,12,5,1,1,1,1,0,0.59,1,1,1,1,0
"62","RELATIVE:/hadoop-common-project/hadoop-auth/src/test/java/org/apache/hadoop/security/authentication/util/TestZKSignerSecretProvider.java","TestZKSignerSecretProvider.java",2,2,2,1,37,1,34,1,1,0,0,6,6,6,1,6,0,1,0,5,270,19,228,74,190,26,172,191,69,122,7,7,7,1,2,0.11,15,15,15,6,2
"63","RELATIVE:/hadoop-common-project/hadoop-common/dev-support/jdiff/Null.java","Null.java",1,1,1,1,1,0,1,0,1,0,0,1,1,1,0,1,0,0,0,1,20,0,3,2,0,17,0,2,2,0,1,1,1,1,0,5.67,1,1,1,1,1
"64","RELATIVE:/hadoop-common-project/hadoop-common/src/main/java/org/apache/hadoop/HadoopIllegalArgumentException.java","HadoopIllegalArgumentException.java",1,1,1,1,7,0,3,4,1,0,1,1,1,1,0,1,0,0,0,1,40,3,11,8,2,26,5,7,6,1,1,1,1,1,0,2.36,1,1,1,1,0
"65","RELATIVE:/hadoop-common-project/hadoop-common/src/main/java/org/apache/hadoop/conf/ConfServlet.java","ConfServlet.java",2,2,2,1,13,1,10,1,2,1,5,4,4,3,0,4,1,1,0,2,106,15,64,30,32,27,31,44,24,20,6,6,6,1,1,0.42,11,11,11,4,3
"66","RELATIVE:/hadoop-common-project/hadoop-common/src/main/java/org/apache/hadoop/conf/Configurable.java","Configurable.java",0,0,0,0,0,0,0,0,1,0,0,0,2,2,0,2,2,0,0,0,34,5,9,8,0,20,5,6,6,0,0,0,0,0,0,2.22,0,0,0,0,0
"67","RELATIVE:/hadoop-common-project/hadoop-common/src/main/java/org/apache/hadoop/conf/Configuration.java","Configuration.java",2,2,2,1,14,0,9,5,17,15,13,160,160,147,33,162,25,19,3,115,2951,228,1674,548,984,1063,778,1197,513,684,33,33,37,14,5,0.64,381,379,409,238,16
"68","RELATIVE:/hadoop-common-project/hadoop-common/src/main/java/org/apache/hadoop/conf/Configured.java","Configured.java",1,1,1,1,3,0,3,0,1,0,0,4,4,4,1,4,0,0,0,4,53,9,22,13,4,22,8,13,9,4,1,1,1,1,0,1,4,4,4,4,0
"69","RELATIVE:/hadoop-common-project/hadoop-common/src/main/java/org/apache/hadoop/conf/Reconfigurable.java","Reconfigurable.java",0,0,0,0,0,0,0,0,1,0,0,0,3,3,0,3,0,0,0,3,57,8,8,7,0,41,5,6,6,0,0,0,0,0,0,5.12,0,0,0,0,1
