,AvgCyclomatic,AvgCyclomaticModified,AvgCyclomaticStrict,AvgEssential,AvgLine,AvgLineBlank,AvgLineCode,AvgLineComment,CountDeclClass,CountDeclClassMethod,CountDeclClassVariable,CountDeclExecutableUnit,CountDeclFunction,CountDeclInstanceMethod,CountDeclInstanceVariable,CountDeclMethod,CountDeclMethodDefault,CountDeclMethodPrivate,CountDeclMethodProtected,CountDeclMethodPublic,CountLine,CountLineBlank,CountLineCode,CountLineCodeDecl,CountLineCodeExe,CountLineComment,CountSemicolon,CountStmt,CountStmtDecl,CountStmtExe,MaxCyclomatic,MaxCyclomaticModified,MaxCyclomaticStrict,MaxEssential,MaxNesting,RatioCommentToCode,SumCyclomatic,SumCyclomaticModified,SumCyclomaticStrict,SumEssential,post_release_bugs,pre_release_bugs,authors,churn_metric,change_metric
2802,1,1,1,1,19,1,14,3,1,0,3,9,9,9,9,9,0,1,0,8,260,29,179,87,109,52,127,144,74,70,4,4,4,1,2,0.29,15,15,15,9,1,2,18,1,17
2803,1,1,1,1,19,0,10,8,1,0,4,8,8,8,8,8,1,2,0,5,229,20,119,61,66,90,82,96,56,40,3,3,3,1,1,0.76,13,13,13,8,1,1,13,1,13
2804,2,2,2,1,43,5,35,3,1,0,0,1,1,1,0,1,0,0,0,1,82,11,51,33,29,20,37,41,29,12,2,2,2,1,1,0.39,2,2,2,1,0,1,1,4,2
2805,1,1,1,1,43,4,30,8,1,0,3,4,4,4,7,4,0,0,0,4,235,27,156,63,119,52,132,138,52,86,2,2,2,1,1,0.33,5,5,5,4,1,1,9,1,9
2806,2,2,2,1,66,7,46,13,1,0,0,1,1,1,0,1,0,0,0,1,109,12,66,34,40,31,41,47,30,17,2,2,2,1,3,0.47,2,2,2,1,0,1,1,3,1
2807,1,1,1,1,19,1,13,4,1,6,16,15,15,9,2,15,0,4,0,11,395,50,263,84,182,82,211,229,69,160,2,2,2,1,1,0.31,17,17,17,15,0,1,6,1,6
2808,1,1,1,1,24,1,17,6,1,3,0,3,3,0,0,3,0,0,0,3,103,9,56,15,43,38,47,52,15,37,2,2,2,1,1,0.68,4,4,4,3,0,0,1,1,1
2809,1,1,1,1,34,3,29,1,2,0,0,11,11,11,1,11,0,0,0,11,436,52,349,91,289,38,252,277,82,195,3,3,3,1,2,0.11,18,18,18,11,0,1,1,1,2
2810,1,1,1,1,18,0,17,0,1,0,0,4,4,4,2,4,0,0,0,4,114,10,87,23,62,17,73,78,19,59,1,1,1,1,0,0.2,4,4,4,4,0,0,1,1,1
2811,1,1,1,1,25,3,22,0,1,0,0,2,2,2,3,2,0,0,0,2,84,13,54,16,43,17,30,33,14,19,1,1,1,1,0,0.31,2,2,2,2,0,0,1,2,1
2812,4,4,4,1,26,1,24,1,1,0,1,2,2,2,7,2,0,0,0,2,102,10,72,32,44,20,57,68,36,32,7,7,7,1,3,0.28,9,9,9,2,0,0,1,4,2
2813,3,3,3,1,76,11,60,8,1,0,4,2,2,2,0,2,0,0,0,2,216,29,157,88,100,37,106,116,78,38,5,5,5,1,3,0.24,7,7,7,2,2,4,11,1,11
2814,1,1,1,1,19,0,17,1,24,2,1,38,38,36,6,38,1,2,0,35,681,34,590,217,403,57,322,381,194,187,6,6,6,1,2,0.1,57,57,60,38,6,5,27,1,23
2815,2,2,2,1,17,0,14,1,3,11,3,30,30,19,1,30,3,6,0,21,642,60,503,203,332,80,304,367,172,195,7,7,7,1,2,0.16,60,60,60,30,3,5,45,1,18
